country_name,population,ranking,world_share
Guyana,786552,164,0.01009016712308174
Bhutan,771608,165,0.009898460207979708
Solomon Islands,686884,166,0.008811590783789092
Macao,649335,167,0.008329898937217478
Montenegro,628066,168,0.008057052686059479
Luxembourg,625978,169,0.008030267083895865
Western Sahara,597339,170,0.007662875867246568
Suriname,586632,171,0.0075255226860368885
Cabo Verde,555987,172,0.007132397792213162
Micronesia,548914,173,0.007041662847719273
Maldives,540544,174,0.006934289528701339
Malta,441543,175,0.005664269701210957
Brunei ,437479,176,0.005612135272478712
Guadeloupe,400124,177,0.005132932126491265
Belize,397628,178,0.005100912556088784
Bahamas,393244,179,0.005044673054228017
Martinique,375265,180,0.004814032086172648
Iceland,341243,181,0.0043775858424894756
Vanuatu,307145,182,0.003940164643938278
French Guiana,298682,183,0.003831598288042367
Barbados,287375,184,0.0036865480947167063
New Caledonia,285498,185,0.0036624692751472125
French Polynesia,280908,186,0.0036035871324599585
Mayotte,272815,187,0.003499767267368902
Sao Tome & Principe,219159,188,0.0028114491305437795
Samoa,198414,189,0.0025453249366337383
Saint Lucia,183627,190,0.002355632073035388
Channel Islands,173863,191,0.002230376029201325
Guam,168775,192,0.0021651053664578064
Curaçao,164093,193,0.0021050430152461017
Kiribati,119449,194,0.001532334000403013
Grenada,112523,195,0.0014434848238775396
St. Vincent & Grenadines,110940,196,0.0014231775402448765
Aruba,106766,197,0.0013696319926247025
Tonga,105695,198,0.0013558928259976765
U.S. Virgin Islands,104425,199,0.0013396008170188502
Seychelles,98347,200,0.0012616300842839632
Antigua and Barbuda,97929,201,0.0012562678325098299
Isle of Man,85033,202,0.001090833385430346
Andorra,77265,203,0.000991182735235446
Dominica,71986,204,0.0009234618569683404
Cayman Islands,65722,205,0.0008431050504774994
Bermuda,62278,206,0.0007989242009317687
Marshall Islands,59190,207,0.0007593102452415201
Northern Mariana Islands,57559,208,0.0007383872006395786
Greenland,56770,209,0.0007282656297070637
American Samoa,55191,210,0.0007080096594885071
Saint Kitts & Nevis,53199,211,0.0006824555792634505
Faeroe Islands,48863,212,0.0006268318383719615
Sint Maarten,42876,213,0.0005500284858079983
Monaco,39242,214,0.000503410249092207
Turks and Caicos,38717,215,0.0004966753634907237
Saint Martin,38666,216,0.0004960211174608653
Liechtenstein,38128,217,0.0004891194632635357
San Marino,33931,218,0.000435278863512249
Gibraltar,33691,219,0.00043220005866585667
British Virgin Islands,30231,220,0.0003878139554636999
Caribbean Netherlands,26223,221,0.00033639791452894714
Palau,18094,222,0.00023211622871093201
Cook Islands,17564,223,0.0002253172013418155
Anguilla,15003,224,0.0001924637879601035
Tuvalu,11792,225,0.00015127194478607882
Wallis & Futuna,11239,226,0.00014417786528584972
Nauru,10824,227,0.00013885409857229624
Saint Barthelemy,9877,228,0.00012670564778257298
Saint Helena,6077,229,7.795790438136033e-05
Saint Pierre & Miquelon,5794,230,7.432748033332265e-05
Montserrat,4992,231,6.403914080496146e-05
Falkland Islands,3480,232,4.4642670272689474e-05
Niue,1626,233,2.0858902834308357e-05
Tokelau,1357,234,1.740807573564357e-05
Holy See,801,235,1.027551117483456e-05
